reference_body_index,0
name,x(km),y(km),z(km),vx(km/s),vy(km/s),vz(km/s),mass(solar_masses),diameter(km)
Sun,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1392684.0
Mercury,43888122.0,-43557809.0,-7585106.0,24.65861639,36.8815889,0.7522789395,1.6600472575536674e-07,700
